PlotID,PI,Height_cm,TotalWetWeight_kg,WetWeightPanicle_kg,WetStemWeight_kg,WetLeafWeight_kg,DryPanicleWeight_kg,DryLeafWeight_kg,DryStalkWeight_kg,TotalDryWeight_kg
1453,329540,304,3.12,NaN,2.13,0.99,NaN,0.165,0.66,0.825
1309,329550,241,3.3,NaN,2.52,0.78,NaN,0.171,0.38,0.551
561,329550,189,0.45,0.02,0.37,0.06,0.019,0.021,0.13,0.17
521,329570,150,0.6,0.07,0.46,0.07,0.042,0.035,0.15,0.227
653,329570,269,1.68,0.3,1.26,0.12,0.076,0.088,0.35,0.514
321,329580,278,2.27,NaN,1.95,0.32,NaN,0.133,0.39,0.523
461,329580,2.73,2.72,NaN,2.68,0.04,NaN,0.014,0.45,0.464
425,329600,198,2.01,0.15,1.58,0.28,0.15,0.134,0.41,0.694
1269,329610,177,0.91,0.09,0.79,0.03,0.078,0.03,0.22,0.328
373,329620,246,1.67,0.07,1.44,0.16,0.024,0.044,0.48,0.548
305,329620,259,1.74,NaN,1.42,0.32,NaN,0.14,0.24,0.38
353,329630,237,1.01,NaN,0.82,0.19,NaN,0.08,0.17,0.25
601,329640,221,1.86,NaN,1.29,0.57,NaN,0.18,0.2,0.38
1529,329640,309,1.49,0.15,1.3,0.04,0.056,0.039,0.46,0.555
1289,329650,302,1.24,0.12,0.93,0.19,0.06,0.082,0.3,0.442
417,329660,323,2.9,0.37,2.12,0.41,0.134,0.16,0.32,0.614
1193,329670,255,2.2,NaN,1.78,0.42,NaN,0.126,0.42,0.546
217,329700,255,1.2,NaN,0.98,0.22,NaN,0.12,0.17,0.29
281,329700,177,2.76,NaN,2.18,0.58,NaN,0.173,0.27,0.443
369,329710,178,2.24,NaN,1.76,0.48,NaN,0.141,0.21,0.351
945,329710,281,2.13,NaN,1.8,0.33,NaN,0.138,0.33,0.468
189,329840,322,1.8,NaN,1.59,0.21,NaN,0.114,0.33,0.444
737,329840,212,0.77,0.02,0.72,0.03,0.02,0.028,0.21,0.258
1037,329860,279,2.05,NaN,1.7,0.35,NaN,0.163,0.28,0.443
1273,329860,233,0.81,0.04,0.61,0.16,0.039,0.04,0.26,0.339
1277,330170,253,2.08,0.26,1.76,0.06,0.118,0.037,0.37,0.525
937,330170,277,0.52,0.08,0.41,0.03,0.08,0.023,0.17,0.273
929,330180,238,1.22,NaN,1,0.22,NaN,0.092,0.18,0.272
597,330180,207,0.77,0.01,0.58,0.18,0.007,0.115,0.15,0.272
125,330180,351,1.79,0.13,1.39,0.27,0.053,0.096,0.4,0.549
1461,330180,297,1.22,NaN,1.03,0.19,NaN,0.096,0.24,0.336
161,330200,306,2.05,NaN,1.61,0.44,NaN,0.115,0.47,0.585
1237,330200,283,1.57,0.12,1.13,0.32,0.059,0.123,0.38,0.562
681,330200,319,2.51,0.02,2.23,0.26,0.009,0.109,0.5,0.618
1385,330800,325,1.98,NaN,1.77,0.21,NaN,0.143,0.42,0.563
1337,330800,247,1.03,NaN,0.82,0.21,NaN,0.099,0.26,0.359
741,330810,305,1.91,NaN,1.64,0.27,NaN,0.153,0.43,0.583
221,330830,249,1.63,NaN,1.3,0.33,NaN,0.115,0.35,0.465
545,330860,227,1.49,0.08,1.24,0.17,0.056,0.069,0.35,0.475
1053,337680,321,2.79,0.12,2.44,0.23,0.019,0.165,0.7,0.884
569,337690,139,0.56,0.08,0.45,0.03,0.059,0.021,0.13,0.21
925,35038,0,0,0,0,0,0,0,0,0
49,365510,350,2.06,0.15,1.72,0.19,0.024,0.13,0.5,0.654
761,452540,309,2.04,NaN,1.77,0.27,NaN,0.124,0.37,0.494
1525,452620,112,0.92,0.18,0.64,0.1,0.156,0.032,0.16,0.348
813,452690,263,1.57,0.05,1.12,0.4,0.04,0.092,0.27,0.402
1313,453700,213,1.04,0.12,0.75,0.17,0.053,0.002,0.32,0.375
1313,453700,213,1.04,0.12,0.75,0.17,0.053,0.002,0.32,0.375
1261,455220,172,1.15,0.22,0.85,0.08,0.097,0.034,0.22,0.351
285,455220,218,1.12,0.04,0.92,0.16,0.039,0.08,0.3,0.419
285,455220,218,1.12,0.04,0.92,0.16,0.039,0.08,0.3,0.419
1409,455280,1.94,1.02,NaN,0.8,0.22,NaN,0.112,0.15,0.262
1501,455300,272,3.2,NaN,2.69,0.51,NaN,0.154,0.41,0.564
753,455310,229,2.4,NaN,2.04,0.36,NaN,0.149,0.31,0.459
881,505720,252,1.51,NaN,1.17,0.34,NaN,0.127,0.25,0.377
513,506030,274,2.13,NaN,1.7,0.43,NaN,0.139,0.82,0.959
645,506070,262,1.95,NaN,1.51,0.44,NaN,0.155,0.29,0.445
1177,508370,239,1.44,0.17,1.23,0.04,0.101,0.03,0.32,0.451
789,510760,214,0.84,NaN,0.66,0.18,NaN,0.063,0.17,0.233
689,511360,249,1.58,0.14,1.07,0.37,0.09,0.103,0.78,0.973
641,513900,257,1.99,NaN,1.64,0.35,NaN,0.136,0.38,0.516
121,514460,190,1.66,NaN,1.35,0.31,NaN,0.133,0.21,0.343
409,521020,124,0.88,0.13,0.66,0.09,0.081,0.058,0.17,0.309
1425,521150,261,1.9,0.09,1.59,0.22,0.022,0.096,0.31,0.428
889,521280,223,1.46,0.21,1.14,0.11,0.144,0.045,0.3,0.489
1505,521290,207,1.44,0.14,1.23,0.07,0.098,0.029,0.29,0.417
1069,524480,95,0.6,0.09,0.42,0.09,0.065,0.053,0.11,0.228
1045,525050,233,1.04,NaN,0.81,0.23,NaN,0.08,0.18,0.26
1489,52606,172,1.94,NaN,1.48,0.46,NaN,0.143,0.19,0.333
1057,533790,63,0.58,0.17,0.37,0.04,0.082,0.039,0.1,0.221
193,533900,137,0.21,0.09,0.1,0.02,0.089,0.019,0.08,0.188
529,534160,153,1.04,0.14,0.87,0.03,0.049,0.03,0.28,0.359
97,535780,308,2.78,0.1,2.1,0.58,0.031,0.169,0.54,0.74
297,535780,232,1.23,NaN,1.12,0.11,NaN,0.101,0.28,0.381
1249,535790,142,0.98,0.19,0.71,0.08,0.13,0.044,0.16,0.334
385,535790,307,2.29,0.02,1.87,0.04,0.01,0.017,0.45,0.477
865,535790,360,1.82,0.08,1.47,0.27,0.023,0.08,0.37,0.473
393,535800,221,0.66,0.15,0.48,0.03,0.047,0.022,0.13,0.199
1009,535800,0,0,0,0,0,0,0,0,0
869,540520,258,1.68,NaN,1.3,0.38,NaN,0.147,0.23,0.377
577,542720,312,0.85,0.09,0.66,0.1,0.089,0.012,0.35,0.451
481,550600,302,1.42,0.07,1.31,0.04,0.013,0.039,0.27,0.322
721,561840,182,1.29,NaN,1.05,0.24,NaN,0.084,0.19,0.274
441,562730,187,1.7,NaN,1.36,0.34,NaN,0.123,0.16,0.283
1405,562730,271,3.29,NaN,2.85,0.44,NaN,0.193,0.54,0.733
957,562780,294,2.35,NaN,1.96,0.39,NaN,0.174,0.4,0.574
453,562900,304,2.47,NaN,2.04,0.43,NaN,0.155,0.63,0.785
997,562970,320,2.8,NaN,2.33,0.47,NaN,0.14,0.58,0.72
497,562970,219,1.41,NaN,1.09,0.32,NaN,0.103,0.26,0.363
785,562980,192,2.63,NaN,2.1,0.53,NaN,0.136,0.31,0.446
325,562980,191,0.55,0.01,0.51,0.03,0.009,0.01,0.24,0.259
1141,562980,346,2.23,NaN,1.94,0.29,NaN,0.137,0.59,0.727
1421,562990,256,1.02,NaN,0.81,0.21,NaN,0.072,0.2,0.272
1513,562990,0,0,0,0,0,0,0,0,0
65,562990,212,1.77,0.04,1.35,0.38,0.04,0.09,0.56,0.69
893,563000,243,1.31,NaN,1.04,0.27,NaN,0.11,0.21,0.32
1321,563000,226,1.11,NaN,0.89,0.22,NaN,0.101,0.15,0.251
401,563000,275,1.76,NaN,1.53,0.23,NaN,0.157,0.33,0.487
1361,563010,231,2.64,NaN,1.99,0.65,NaN,0.21,0.32,0.53
381,563010,230,1.34,0.02,1.2,0.12,0.011,0.07,0.49,0.571
1181,563020,167,1.59,NaN,1.27,0.32,NaN,0.122,0.23,0.352
113,563020,270,3.09,NaN,2.64,0.45,NaN,0.146,0.36,0.506
1025,563020,276,2.01,0.08,1.7,0.23,0.036,0.091,0.7,0.827
805,563200,240,2.01,NaN,1.53,0.48,NaN,0.14,0.32,0.46
1049,563220,217,1.37,0.21,0.92,0.24,0.09,0.108,0.26,0.458
405,563330,375,3.39,0.09,2.71,0.59,0.03,0.193,0.74,0.963
1429,563330,270,2.03,NaN,1.56,0.47,NaN,0.155,0.35,0.505
909,563330,281,2.37,NaN,1.56,0.81,NaN,0.161,0.25,0.411
933,563330,227,2.31,NaN,1.89,0.42,NaN,0.156,0.3,0.456
1473,563340,254,2.21,NaN,1.85,0.36,NaN,0.148,0.31,0.458
901,563350,261,1.8,0.15,1.55,0.1,0.147,0.045,0.42,0.612
885,563350,234,0.92,0.07,0.68,0.17,0.03,0.042,0.22,0.292
457,563360,272,1.26,NaN,1.1,0.16,NaN,0.079,0.21,0.289
145,564160,116,0.8,0.04,0.69,0.07,0.038,0.058,0.16,0.256
1205,566820,262,2.75,0.09,2.22,0.44,0.021,0.149,0.52,0.69
1497,569090,204,1.39,NaN,1.08,0.31,NaN,0.135,0.2,0.335
605,569100,297,1.02,0.19,0.66,0.17,0.055,0.066,0.22,0.341
1097,569150,98,0.99,0.38,0.53,0.08,0.206,0.061,0.13,0.397
57,569240,186,1.79,NaN,1.44,0.35,NaN,0.121,0.18,0.301
277,569260,194,1.28,NaN,1.01,0.27,NaN,0.099,0.16,0.259
377,569420,310,1.36,NaN,1.23,0.13,NaN,0.115,0.43,0.545
213,569420,213,1.13,0.15,0.91,0.07,0.102,0.048,0.23,0.38
1281,569420,332,3.46,0.02,2.91,0.53,0.016,0.225,0.7,0.941
697,569420,268,1.8,0.11,1.57,0.12,0.065,0.077,0.38,0.522
1245,569420,286,0.97,0.05,0.77,0.15,0.01,0.079,0.22,0.309
665,569420,109,0.39,0.1,0.23,0.06,0.1,0.03,0.09,0.22
1329,569430,273,1.84,0.24,1.45,0.15,0.055,0.089,0.46,0.604
269,569440,209,2.17,NaN,1.79,0.38,NaN,0.125,0.23,0.355
1233,569440,303,2.19,NaN,1.87,0.32,NaN,0.165,0.38,0.545
1217,569440,255,1.37,NaN,1.1,0.27,NaN,0.097,0.2,0.297
993,569440,180,0.71,0.13,0.56,0.02,0.114,0.02,0.15,0.284
169,569450,253,1.25,NaN,0.97,0.28,NaN,0.093,0.23,0.323
1365,569450,274,2.35,NaN,1.86,0.49,NaN,0.149,0.39,0.539
509,569450,235,1.48,NaN,1.24,0.24,NaN,0.088,0.21,0.298
421,569450,217,1.83,0.08,1.41,0.34,0.027,0.117,0.45,0.594
1225,569460,203,0.58,0.09,0.41,0.08,0.09,0.032,0.15,0.272
713,569460,0,0,0,0,0,0,0,0,0
1169,569460,186,1.76,NaN,1.25,0.51,NaN,0.169,0.23,0.399
1073,569460,253,1.65,NaN,1.32,0.33,NaN,0.117,0.29,0.407
505,569460,0,0,0,0,0,0,0,0,0
261,569460,331,1.74,0.06,1.48,0.2,0.011,0.106,0.41,0.527
165,569890,368,1.28,0.02,1.06,0.2,0.02,0.095,0.42,0.535
705,570030,253,1.88,0.32,1.42,0.14,0.185,0.101,0.38,0.666
1285,570040,276,2.02,NaN,1.73,0.29,NaN,0.139,0.35,0.489
93,570040,272,2.12,NaN,1.71,0.41,NaN,0.118,0.36,0.478
1173,570050,0,0,0,0,0,0,0,0,0
117,570070,269,1.11,NaN,1.08,0.03,NaN,0.024,0.3,0.324
1517,570070,226,1.35,NaN,1.05,0.3,NaN,0.096,0.19,0.286
257,570070,233,1.62,NaN,1.3,0.32,NaN,0.114,0.28,0.394
1381,570080,234,3.96,NaN,2.32,1.64,NaN,0.149,0.45,0.599
141,570080,207,1.32,NaN,1.11,0.21,NaN,0.103,0.18,0.283
329,570080,244,1.21,NaN,0.99,0.22,NaN,0.064,0.29,0.354
413,570090,256,1.35,NaN,0.98,0.37,NaN,0.101,0.24,0.341
357,570090,288,0.91,0.07,0.74,0.1,0.054,0.052,0.31,0.416
1189,570090,307,1.76,0.02,1.51,0.23,0.012,0.112,0.39,0.514
897,570100,198,1.27,NaN,1,0.27,NaN,0.102,0.21,0.312
85,570110,0,0,0,0,0,0,0,0,0
833,570110,242,0.7,0.11,0.57,0.02,0.101,0.016,0.15,0.267
1477,570110,239,1.24,0.18,0.96,0.1,0.125,0.032,0.28,0.437
1093,570110,254,2.37,NaN,2.01,0.36,NaN,0.144,0.39,0.534
981,570140,333,1.84,NaN,1.53,0.31,NaN,0.112,0.43,0.542
1469,570250,220,1.76,NaN,1.4,0.36,NaN,0.123,0.23,0.353
941,570370,124,0.88,0.14,0.69,0.05,0.123,0.026,0.17,0.319
949,570370,281,1.87,NaN,1.52,0.35,NaN,0.124,0.3,0.424
1265,570390,245,1.8,0.16,1.36,0.28,0.019,0.11,0.28,0.409
621,570390,295,1.88,0.04,1.78,0.06,0.04,0.033,0.64,0.713
137,570400,226,1.05,0.07,0.89,0.09,0.07,0.067,0.25,0.387
1521,573190,310,0.99,0.07,0.7,0.22,0.015,0.09,0.27,0.375
1345,576400,241,1.54,NaN,1.14,0.4,NaN,0.115,0.24,0.355
913,576400,300,1.11,NaN,0.91,0.2,NaN,0.082,0.29,0.372
25,583830,230,1.16,NaN,0.94,0.22,NaN,0.08,0.19,0.27
473,585410,208,1.21,NaN,1.08,0.13,NaN,0.124,0.23,0.354
317,585450,302,2.08,NaN,1.74,0.34,NaN,0.135,0.38,0.515
801,585450,70,0.41,0.17,0.13,0.11,0.125,0.049,0.05,0.224
853,585450,151,0.69,0.25,0.38,0.06,0.177,0.034,0.18,0.391
313,585460,254,1.9,NaN,1.64,0.26,NaN,0.088,0.32,0.408
1509,585470,209,0.88,0.2,0.65,0.03,0.173,0.03,0.16,0.363
77,585580,205,2.14,NaN,1.8,0.34,NaN,0.108,0.22,0.328
1369,585610,174,0.94,0.12,0.6,0.22,0.016,0.117,0.15,0.283
1185,585950,283,1.66,NaN,1.24,0.42,NaN,0.135,0.27,0.405
1333,585960,196,0.8,0.04,0.64,0.12,0.04,0.059,0.15,0.249
809,585970,341,2.22,0.17,1.88,0.17,0.022,0.112,0.45,0.584
1021,586440,228,1.13,0.09,0.91,0.13,0.068,0.102,0.25,0.42
61,586540,87,0.48,0.09,0.3,0.09,0.076,0.046,0.05,0.172
433,593920,270,0.9,0.07,0.7,0.13,0.015,0.069,0.26,0.344
717,619810,244,1.71,NaN,1.45,0.26,NaN,0.112,0.28,0.392
593,619840,331,1.85,0.08,1.43,0.34,0.021,0.145,0.39,0.556
45,620070,180,0.49,0.14,0.27,0.08,0.097,0.033,0.1,0.23
1377,620160,296,1.67,NaN,1.45,0.22,NaN,0.112,0.38,0.492
197,641820,232,1.26,NaN,1,0.26,NaN,0.097,0.4,0.497
1161,641820,277,2.08,NaN,1.58,0.5,NaN,0.133,0.34,0.473
201,641840,375,2.31,NaN,1.92,0.39,NaN,0.112,0.23,0.342
965,643000,348,3.12,0.11,2.44,0.57,0.044,0.202,0.65,0.896
609,643010,356,2.37,0.05,1.94,0.38,0.022,0.121,0.22,0.363
81,643020,0,0,0,0,0,0,0,0,0
669,646240,306,1.87,NaN,1.53,0.34,NaN,0.137,0.32,0.457
905,646250,169,0.89,0.14,0.7,0.05,0.102,0.025,0.18,0.307
1117,646270,261,1.88,NaN,1.61,0.27,NaN,0.118,0.26,0.378
1061,651490,226,1.35,0.09,1.14,0.12,0.045,0.062,0.3,0.407
205,651500,243,0.89,NaN,0.7,0.19,NaN,0.09,0.17,0.26
489,653620,213,0.94,0.23,0.63,0.08,0.209,0.032,0.3,0.541
101,653620,265,1.78,NaN,1.46,0.32,NaN,0.123,0.3,0.423
625,655970,182,0.66,NaN,0.41,0.25,NaN,0.02,0.13,0.15
1153,655980,294,2.12,NaN,1.69,0.43,NaN,0.149,0.42,0.569
917,655980,309,1.77,NaN,1.45,0.32,NaN,0.129,0.36,0.489
1301,655980,102,1.04,0.05,0.47,0.52,0.05,0.056,0.14,0.246
673,656020,262,1.58,NaN,1.2,0.38,NaN,0.129,0.28,0.409
1393,656030,302,1.62,NaN,1.55,0.07,NaN,0.013,0.35,0.363
537,656040,315,2.08,0.09,1.84,0.15,0.008,0.14,0.45,0.598
289,656060,285,2.45,NaN,2.04,0.41,NaN,0.129,0.51,0.639
13,92270,263,1.81,NaN,1.62,0.19,NaN,0.135,0.28,0.415
