PlotID,PI,Height_cm,TotalWetWeight_kg,WetWeightPanicle_kg,WetStemWeight_kg,WetLeafWeight_kg,DryPanicleWeight_kg,DryLeafWeight_kg,DryStalkWeight_kg,TotalDryWeight_kg
337,526900,289,2.69,NaN,2.38,0.31,NaN,0.126,0.34,0.466
769,527040,122,0.47,0.08,0.34,0.05,0.079,0.007,0.24,0.326
817,534000,197,1.43,NaN,1.1,0.33,NaN,0.074,0.18,0.254
1157,144130,294,2.51,0.21,1.77,0.53,0.083,0.142,0.47,0.695
773,145620,279,2.38,NaN,1.91,0.47,NaN,0.151,0.17,0.321
777,145630,353,2.06,NaN,1.73,0.33,NaN,0.146,0.48,0.626
541,145630,173,0.88,0.17,0.65,0.06,0.101,0.037,0.17,0.308
629,145630,284,2.5,NaN,2.02,0.48,NaN,0.123,0.49,0.613
153,146890,275,1,NaN,0.84,0.16,NaN,0.08,0.25,0.33
969,152690,292,2.18,NaN,1.81,0.37,NaN,0.15,0.39,0.54
365,152730,276,1.9,NaN,1.6,0.3,NaN,0.131,0.27,0.401
73,152730,217,1.48,NaN,1.21,0.27,NaN,0.112,0.22,0.332
1433,152730,249,2.08,0.19,1.65,0.24,0.11,0.097,0.48,0.687
565,152750,216,1.4,0.09,1.21,0.1,0.09,0.053,0.62,0.763
1397,152770,285,1.64,NaN,1.28,0.36,NaN,0.108,0.31,0.418
525,152820,355,5.73,0.26,4.97,0.5,0.064,0.174,0.51,0.748
1105,152830,185,1.11,0.08,0.99,0.04,0.078,0.04,0.23,0.348
977,152860,213,1.32,NaN,1.09,0.23,NaN,0.073,0.18,0.253
1017,152860,181,1.6,NaN,1.35,0.25,NaN,0.129,0.19,0.319
1077,152920,225,0.57,0.12,0.41,0.04,0.113,0.031,0.16,0.304
657,152960,236,4.54,NaN,3.71,0.83,NaN,0.226,0.57,0.796
1041,152960,264,1.61,NaN,1.32,0.29,NaN,0.115,0.37,0.485
589,152960,263,1.76,0.07,1.46,0.23,0.017,0.096,0.32,0.433
1353,152970,208,0.87,NaN,0.59,0.28,NaN,0.081,0.17,0.251
1033,152970,332,3.15,NaN,2.62,0.53,NaN,0.183,0.54,0.723
1065,152970,285,1.58,0.09,1.22,0.27,0.034,0.063,0.33,0.427
693,153880,249,1.47,NaN,1.16,0.31,NaN,0.136,0.23,0.366
1213,154750,268,1.45,0.08,1.12,0.25,0.031,0.095,0.38,0.506
229,154840,206,1.66,NaN,1.36,0.3,NaN,0.117,0.21,0.327
573,154850,280,1.02,NaN,0.84,0.18,NaN,0.084,0.21,0.294
1029,154940,79,0.31,0.11,0.19,0.01,0.079,0.01,0.07,0.159
661,154990,252,2.23,NaN,1.85,0.38,NaN,0.143,0.35,0.493
1129,155150,241,1.43,NaN,1.09,0.34,NaN,0.128,0.13,0.258
469,155520,196,1.36,0.13,1.06,0.17,0.12,0.039,0.31,0.469
397,155760,320,0.85,0.02,0.72,0.11,0.019,0.047,0.31,0.376
1481,155880,82,0.65,0.13,0.43,0.09,0.116,0.044,0.13,0.29
185,156200,166,1.07,0.11,0.88,0.08,0.086,0.013,0.2,0.299
501,156220,146,0.74,0.14,0.53,0.07,0.105,0.036,0.13,0.271
1137,156270,319,2.23,0.05,1.92,0.26,0.017,0.119,0.61,0.746
129,156330,203,1.25,NaN,1,0.25,NaN,0.091,0.16,0.251
449,156390,200,2.9,NaN,2.19,0.71,NaN,0.172,0.53,0.702
857,156460,350,0.91,0.06,0.77,0.08,0.026,0.041,0.25,0.317
21,156490,209,3.05,NaN,2.44,0.61,NaN,0.188,0.31,0.498
1465,156870,254,2,0.05,1.53,0.42,0.049,0.098,0.54,0.687
581,156890,332,2.14,0.09,1.74,0.31,0.021,0.129,0.52,0.67
553,157030,178,0.86,0.21,0.6,0.05,NaN,0.013,0.19,0.203
797,157030,0,0,0,0,0,0,0,0,0
557,157040,231,1.54,NaN,1.21,0.33,NaN,0.11,0.25,0.36
349,157800,297,1.67,0.1,1.35,0.22,0.02,0.105,0.36,0.485
1133,167090,81,0.27,0.12,0.08,0.07,0.095,0.031,0.05,0.176
733,170790,105,0.77,0.11,0.56,0.1,0.11,0.058,0.13,0.298
1297,180350,270,1.5,NaN,1.23,0.27,NaN,0.121,0.32,0.441
249,181080,316,2.21,NaN,1.71,0.5,NaN,0.177,0.43,0.607
241,181080,311,1.86,NaN,1.6,0.26,NaN,0.131,0.32,0.451
301,195750,166,0.75,0.03,0.67,0.05,0.028,0.031,0.16,0.219
89,196050,285,0.85,0.04,0.68,0.13,0.04,0.056,0.21,0.306
829,196580,307,2.66,0.31,1.97,0.38,0.018,0.143,0.54,0.701
9,196590,292,1.87,NaN,1.43,0.44,NaN,0.154,0.32,0.474
1013,196600,141,0.46,0.07,0.38,0.01,0.053,0.01,0.1,0.163
149,197540,67,0.62,0.17,0.39,0.06,0.109,0.039,0.08,0.228
105,213900,212,1.02,NaN,0.78,0.24,NaN,0.08,0.18,0.26
157,218110,209,1.27,0.06,1.11,0.1,0.021,0.035,0.31,0.366
1493,221550,334,2.7,NaN,2.34,0.36,NaN,0.142,0.53,0.672
1317,221650,382,1.54,0.05,1.27,0.22,0.02,0.119,0.45,0.589
485,226100,336,1.67,0.2,1.29,0.18,0.095,0.096,0.39,0.581
493,22913,273,0.42,0.09,0.3,0.03,0.074,0.017,0.17,0.261
585,229840,255,2.35,NaN,1.96,0.39,NaN,0.125,0.38,0.505
1209,251670,198,1.13,0.04,0.75,0.34,0.011,0.096,0.28,0.387
245,253990,330,1.75,NaN,1.58,0.17,NaN,0.094,0.45,0.544
237,255240,221,0.71,0.07,0.59,0.05,0.039,0.025,0.18,0.244
5,255740,279,1.11,0.02,0.94,0.15,0.012,0.074,0.28,0.366
1325,257600,309,1.42,NaN,1.17,0.25,NaN,0.127,0.28,0.407
1121,257600,335,1.69,0.11,1.4,0.18,0.037,0.092,0.52,0.649
1081,266930,179,1.07,0.18,0.85,0.04,0.18,0.038,0.19,0.408
309,267570,205,1.83,NaN,1.51,0.32,NaN,0.082,0.19,0.272
649,273460,194,1.28,0.12,1.11,0.05,0.062,0.05,0.23,0.342
477,273970,264,2.57,0.24,2.19,0.14,0.105,0.112,0.65,0.867
953,276840,294,1.53,0.18,1.21,0.14,0.112,0.106,0.33,0.548
781,297160,287,1.4,0.05,1.13,0.22,0.012,0.087,0.32,0.419
725,302250,215,1.71,NaN,1.34,0.37,NaN,0.12,0.19,0.31
1221,303660,350,1.83,0.06,1.44,0.33,0.02,0.135,0.44,0.595
265,329260,258,2.04,NaN,1.71,0.33,NaN,0.126,0.34,0.466
333,329290,293,1.57,NaN,1.34,0.23,NaN,0.13,0.34,0.47
17,329300,239,1.34,0.19,1.05,0.1,0.129,0.07,0.29,0.489
837,329300,0,0,0,0,0,0,0,0,0
613,329300,251,2.48,0.29,1.81,0.38,0.144,0.114,0.63,0.888
173,329310,105,0.65,0.07,0.48,0.1,0.07,0.039,0.14,0.249
429,329320,232,1.34,0.17,1,0.17,0.115,0.077,0.3,0.492
849,329330,198,1.48,0.2,1.14,0.14,0.133,0.065,0.35,0.548
1125,329330,238,1.39,NaN,1.19,0.2,NaN,0.099,0.2,0.299
517,329340,71,0.24,0.09,0.11,0.04,0.073,0.024,0.06,0.157
765,329350,245,1.8,NaN,1.51,0.29,NaN,0.095,0.27,0.365
793,329390,253,2,NaN,1.69,0.31,NaN,0.123,0.28,0.403
1241,329400,278,3.06,NaN,2.46,0.6,NaN,0.206,0.39,0.596
1201,329440,185,0.99,0.28,0.61,0.1,0.173,0.054,0.21,0.437
745,329440,160,1.4,NaN,1.06,0.34,NaN,0.101,0.18,0.281
1417,329460,187,1.43,0.17,1.09,0.17,0.073,0.066,0.28,0.419
1005,329470,194,1.21,NaN,0.97,0.24,NaN,0.085,0.2,0.285
701,329470,219,1.53,NaN,1.39,0.14,NaN,0.069,0.25,0.319
1149,329470,208,0.79,0.17,0.51,0.11,0.102,0.05,0.19,0.342
1001,329480,275,2.9,NaN,2.46,0.44,NaN,0.137,0.48,0.617
1145,329480,294,2.74,NaN,2.32,0.42,NaN,0.153,0.51,0.663
1165,329500,228,1.59,0.23,1.17,0.19,0.081,0.1,0.34,0.521
985,329510,180,1.17,0.18,0.92,0.07,0.132,0.026,0.18,0.338
841,329510,255,2.35,NaN,2.05,0.3,NaN,0.139,0.39,0.529
37,329510,285,1.98,NaN,1.66,0.32,NaN,0.125,0.4,0.525
273,329520,354,1.9,NaN,1.73,0.17,NaN,0.1,0.59,0.69
133,329520,218,0.66,0.05,0.53,0.08,0.046,0.051,0.1,0.197
181,329520,253,1.01,NaN,0.79,0.22,NaN,0.063,0.18,0.243
861,329540,224,0.89,0.08,0.63,0.18,0.058,0.04,0.23,0.328
